     .00     .00     .00    6.50    5.50    1.50    2.50    1.33
     .00    1.00    1.00    6.50    7.00    1.50    6.00    4.33
     .00     .00    1.00    6.50    6.50    1.50    6.25    3.00
     .00    1.00    1.00    6.00    5.50    1.50    6.25    4.33
     .00    1.00     .00    6.50    6.00    1.50    6.25    4.00
     .00    1.00    1.00    6.50    6.50    1.75    5.50    4.33
     .00    1.00    1.00    6.50    6.00    1.75    6.50    3.67
     .00     .00     .00    4.00    5.00    2.00    2.75    1.67
     .00     .00     .00    6.50    5.50    2.00    3.00    1.33
     .00    1.00    1.00    5.50    6.00    2.00    3.50    1.33
     .00    1.00    1.00    5.00    6.00    2.00    5.00    2.33
     .00    1.00    1.00    6.50    6.00    2.00    5.25    4.33
    1.00    1.00    1.00    5.00    5.50    2.00    5.50    5.33
     .00    1.00    1.00    6.50    7.00    2.00    5.50    5.00
     .00    1.00    1.00    7.00    7.00    2.00    5.50    4.33
    1.00    1.00    1.00    5.50    6.50    2.00    5.75    6.00
    1.00    1.00    1.00    6.50    6.50    2.00    5.75    6.33
    1.00    1.00     .00    6.00    6.50    2.00    6.25    5.33
     .00     .00     .00    6.50    7.00    2.25    2.75    3.00
     .00     .00     .00    7.00    7.00    2.25    3.00    2.67
     .00     .00     .00    6.50    6.50    2.25    3.50    1.00
    1.00     .00     .00    5.50    6.50    2.25    4.75    7.00
     .00    1.00     .00    5.50    4.50    2.25    4.75    2.00
    1.00    1.00    1.00    5.50    6.00    2.25    5.50    5.67
    1.00    1.00    1.00    6.50    5.50    2.25    5.75    5.67
     .00    1.00    1.00    3.00    3.00    2.25    5.75    3.00
    1.00    1.00    1.00    5.50    6.00    2.25    6.00    5.33
     .00    1.00    1.00    5.50    5.50    2.25    6.00    4.00
     .00    1.00    1.00    7.00    7.00    2.25    6.00    2.33
    1.00    1.00    1.00    6.50    6.50    2.25    6.50    6.67
     .00    1.00    1.00    6.50    6.50    2.25    6.75    4.67
     .00     .00     .00    6.50    7.00    2.50    3.25    1.33
     .00     .00     .00    6.50    6.00    2.50    3.75    4.00
    1.00    1.00    1.00    6.50    6.50    2.50    5.00    6.33
    1.00    1.00     .00    6.00    7.00    2.50    5.25    7.00
